caseid,sex,total_children,age,age_at_first_birth,religion_importance,income_family,occupation,education,partner_education,partner_sex,region,pop_center,decade_first_birth,age_group,age_at_first_birth_group,child,education_level,partner_education_level
11886,Female,0,42.8,NA,Somewhat important,"$50,000 to $74,999",Occupations in manufacturing and utilities,High school diploma or a high school equivalency certificate,NA,No Partner,Ontario,Rural areas and small population centres (non CMA/CA),NA,40,NA,0,HS or less,NA
11887,Female,3,51.7,22.9,Very important,"$100,000 to $ 124,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),1970,50,20,1,College / Trade,College / Trade
11891,Female,0,28.8,NA,Not at all important,"$50,000 to $74,999",Sales and service occupations,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Quebec,Larger urban population centres (CMA/CA),NA,25,NA,0,HS or less,HS or less
11895,Female,4,76.8,18.8,Very important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,75,15,1,HS or less,NA
11896,Female,0,39.6,NA,Very important,"$125,000 and more",Management occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","University certificate, diploma or degree above the ba...",Male,Ontario,Larger urban population centres (CMA/CA),NA,35,NA,0,University Undergraduate,University Graduate
11897,Female,2,64.4,26.3,Somewhat important,"$125,000 and more",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","University certificate, diploma or degree above the ba...",Male,Ontario,Larger urban population centres (CMA/CA),1960,60,25,1,University Undergraduate,University Graduate
11899,Female,3,77.8,28.4,Very important,"$75,000 to $99,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,75,25,1,University Undergraduate,NA
11900,Female,0,60.5,NA,Very important,"$75,000 to $99,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,60,NA,0,College / Trade,NA
11902,Female,2,46.9,28.8,Very important,"$125,000 and more",Health occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,British Columbia,Larger urban population centres (CMA/CA),1980,45,25,1,University Undergraduate,College / Trade
11907,Female,2,68.8,23.2,Somewhat important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Atlantic region,Rural areas and small population centres (non CMA/CA),1960,65,20,1,HS or less,University Undergraduate
11908,Female,3,28.9,NA,Not at all important,"$125,000 and more","Trades, transport and equipment operators and related oc...",High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),NA,25,NA,1,HS or less,HS or less
11909,Female,2,28.1,24.3,Not very important,"$75,000 to $99,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,British Columbia,Larger urban population centres (CMA/CA),2000,25,20,1,College / Trade,College / Trade
11911,Female,1,34.1,27.1,Not very important,"$100,000 to $ 124,999",Management occupations,"College, CEGEP or other non-university certificate or di...",Less than high school diploma or its equivalent,Male,British Columbia,Larger urban population centres (CMA/CA),2000,30,25,1,College / Trade,HS or less
11915,Female,3,67.1,30.5,Somewhat important,"$125,000 and more",NA,High school diploma or a high school equivalency certificate,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Quebec,Rural areas and small population centres (non CMA/CA),1970,65,30,1,HS or less,University Undergraduate
11917,Female,0,30.1,NA,Very important,"$25,000 to $49,999","Business, finance, and administration occupations","University certificate, diploma or degree above the bach...","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),NA,30,NA,0,University Graduate,College / Trade
11919,Female,2,71,27,Not very important,"$50,000 to $74,999",NA,University certificate or diploma below the bachelor's level,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Quebec,Larger urban population centres (CMA/CA),1960,70,25,1,University Undergraduate,University Undergraduate
11920,Female,4,56.3,20.2,Not very important,"$25,000 to $49,999","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),1970,55,20,1,HS or less,NA
11923,Female,2,33.8,28.5,Not at all important,"$100,000 to $ 124,999","Natural resources, agriculture and related production oc...","College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Prairie region,Larger urban population centres (CMA/CA),2000,30,25,1,College / Trade,College / Trade
11925,Female,3,64.8,24.5,Not at all important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1960,60,20,1,HS or less,NA
11927,Female,2,58.3,26,Not at all important,"Less than $25,000",NA,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,British Columbia,Larger urban population centres (CMA/CA),1970,55,25,1,College / Trade,College / Trade
11929,Female,0,20.5,NA,Very important,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,20,NA,0,HS or less,NA
11930,Female,0,24.9,NA,Very important,"$25,000 to $49,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),NA,20,NA,0,University Undergraduate,HS or less
11931,Female,2,30.2,20.6,Not very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Ontario,Rural areas and small population centres (non CMA/CA),1990,30,20,1,HS or less,HS or less
11932,Female,2,65,20.8,Very important,"$100,000 to $ 124,999",NA,"College, CEGEP or other non-university certificate or di...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Atlantic region,Rural areas and small population centres (non CMA/CA),1960,65,20,1,College / Trade,University Undergraduate
11936,Female,1,69.8,26.5,Not at all important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Ontario,Rural areas and small population centres (non CMA/CA),1960,65,25,1,HS or less,HS or less
11937,Female,0,25.7,NA,Not at all important,"$50,000 to $74,999",Natural and applied sciences and related occupations,"University certificate, diploma or degree above the bach...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,25,NA,0,University Graduate,NA
11940,Female,3,45.8,18.6,Very important,"$125,000 and more",NA,Less than high school diploma or its equivalent,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),1980,45,15,1,HS or less,University Undergraduate
11945,Female,2,56.7,NA,Somewhat important,"$25,000 to $49,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,55,NA,1,College / Trade,NA
11948,Female,4,51.6,23.3,Somewhat important,"$50,000 to $74,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,Male,Ontario,Larger urban population centres (CMA/CA),1970,50,20,1,HS or less,NA
11951,Female,0,19.3,NA,Very important,"$125,000 and more",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
11953,Female,0,54.5,NA,Not at all important,"Less than $25,000",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,50,NA,0,College / Trade,NA
11955,Female,1,80,31.3,Very important,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Quebec,Larger urban population centres (CMA/CA),NA,80,30,1,HS or less,HS or less
11956,Female,2,32.8,NA,Very important,"$25,000 to $49,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,30,NA,1,College / Trade,NA
11957,Female,3,76.8,21.3,Somewhat important,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),NA,75,20,1,HS or less,NA
11958,Female,2,70.5,27.8,Somewhat important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1960,70,25,1,HS or less,NA
11959,Female,1,28.3,23.9,Not at all important,"$25,000 to $49,999",NA,Trade certificate or diploma,"College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),2000,25,20,1,College / Trade,College / Trade
11960,Female,3,69.7,25.5,Not at all important,"$75,000 to $99,999",NA,"College, CEGEP or other non-university certificate or di...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,British Columbia,Rural areas and small population centres (non CMA/CA),1960,65,25,1,College / Trade,University Undergraduate
11961,Female,5,66.3,20.5,Very important,"$75,000 to $99,999","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),1960,65,20,1,HS or less,NA
11962,Female,3,57.9,18.3,Very important,"$75,000 to $99,999",NA,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Prairie region,Rural areas and small population centres (non CMA/CA),1960,55,15,1,College / Trade,HS or less
11963,Female,1,59.3,37.3,Very important,"$100,000 to $ 124,999",NA,"College, CEGEP or other non-university certificate or di...","University certificate, diploma or degree above the ba...",Male,Ontario,Larger urban population centres (CMA/CA),1980,55,35,1,College / Trade,University Graduate
11964,Female,2,58.7,18.9,Not very important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1960,55,15,1,HS or less,NA
11965,Female,0,56.2,NA,Very important,"$50,000 to $74,999",Health occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,55,NA,0,University Undergraduate,NA
11966,Female,2,60.9,29.1,Somewhat important,"$125,000 and more",Health occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,British Columbia,Larger urban population centres (CMA/CA),1970,60,25,1,University Undergraduate,College / Trade
11967,Female,2,35.6,26.2,Somewhat important,"$75,000 to $99,999","Occupations in education, law and social, community and ...",High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1990,35,25,1,HS or less,HS or less
11968,Female,0,62.9,NA,Not at all important,"$25,000 to $49,999",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,60,NA,0,HS or less,NA
11969,Female,3,74.3,20.3,Very important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Atlantic region,Larger urban population centres (CMA/CA),NA,70,20,1,College / Trade,College / Trade
11971,Female,1,62.1,21.9,Very important,"$25,000 to $49,999",Sales and service occupations,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),1960,60,20,1,HS or less,NA
11972,Female,2,62.7,23.8,Very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),1960,60,20,1,HS or less,HS or less
11973,Female,2,80,22.8,Somewhat important,"Less than $25,000",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,80,20,1,HS or less,NA
11977,Female,2,30.8,27.1,Somewhat important,"$25,000 to $49,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),2000,30,25,1,College / Trade,NA
11978,Female,2,57.9,23,Very important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,Quebec,Rural areas and small population centres (non CMA/CA),1970,55,20,1,HS or less,HS or less
11979,Female,4,74,21.3,Very important,"Less than $25,000",NA,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),NA,70,20,1,College / Trade,NA
11980,Female,0,21.8,NA,Not at all important,"Less than $25,000","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,20,NA,0,College / Trade,NA
11981,Female,1,70,29.2,Very important,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Quebec,Rural areas and small population centres (non CMA/CA),1960,70,25,1,HS or less,HS or less
11982,Female,0,74.7,NA,Very important,"$125,000 and more",NA,"College, CEGEP or other non-university certificate or di...","University certificate, diploma or degree above the ba...",No Partner,Ontario,Larger urban population centres (CMA/CA),NA,70,NA,0,College / Trade,University Graduate
11985,Female,0,29.6,NA,Very important,"$50,000 to $74,999",Health occupations,"University certificate, diploma or degree above the bach...","University certificate, diploma or degree above the ba...",Male,Atlantic region,Larger urban population centres (CMA/CA),NA,25,NA,0,University Graduate,University Graduate
11988,Female,0,50.4,NA,Not very important,"$75,000 to $99,999","Business, finance, and administration occupations","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,British Columbia,Larger urban population centres (CMA/CA),NA,50,NA,0,University Undergraduate,University Undergraduate
11990,Female,1,69.3,31.3,Very important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",Less than high school diploma or its equivalent,Male,Atlantic region,Larger urban population centres (CMA/CA),1970,65,30,1,College / Trade,HS or less
11991,Female,0,26.8,NA,Somewhat important,"Less than $25,000",Natural and applied sciences and related occupations,"University certificate, diploma or degree above the bach...",NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,25,NA,0,University Graduate,NA
11993,Female,1,31.4,28,Very important,"$50,000 to $74,999",Health occupations,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Prairie region,Larger urban population centres (CMA/CA),2000,30,25,1,College / Trade,NA
11995,Female,2,50.9,NA,Somewhat important,"$100,000 to $ 124,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Atlantic region,Larger urban population centres (CMA/CA),NA,50,NA,1,University Undergraduate,University Undergraduate
11996,Female,1,51.1,21.1,Somewhat important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,Prairie region,Larger urban population centres (CMA/CA),1970,50,20,1,HS or less,HS or less
11999,Female,0,31.8,NA,Somewhat important,"$125,000 and more",Health occupations,"University certificate, diploma or degree above the bach...",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,30,NA,0,University Graduate,NA
12003,Female,2,42.3,29,Not at all important,"$50,000 to $74,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",Trade certificate or diploma,Male,Ontario,Larger urban population centres (CMA/CA),1990,40,25,1,College / Trade,College / Trade
12005,Female,0,28,NA,Not at all important,"$50,000 to $74,999","Occupations in education, law and social, community and ...","College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Larger urban population centres (CMA/CA),NA,25,NA,0,College / Trade,College / Trade
12007,Female,3,80,23.3,Somewhat important,"Less than $25,000",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),NA,80,20,1,HS or less,NA
12010,Female,0,45.2,NA,Very important,"$125,000 and more",Sales and service occupations,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,45,NA,0,HS or less,HS or less
12015,Female,2,66.7,33.3,Somewhat important,"$25,000 to $49,999",Uncodable,"College, CEGEP or other non-university certificate or di...",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),1970,65,30,1,College / Trade,NA
12017,Female,0,24.5,NA,Not very important,"$50,000 to $74,999",Sales and service occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,20,NA,0,University Undergraduate,NA
12019,Female,1,75.8,25.2,Somewhat important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Ontario,Larger urban population centres (CMA/CA),NA,75,25,1,HS or less,HS or less
12020,Female,3,52.9,31,Very important,"$100,000 to $ 124,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),1980,50,30,1,College / Trade,College / Trade
12027,Female,1,71.2,NA,Somewhat important,"$25,000 to $49,999",Sales and service occupations,Less than high school diploma or its equivalent,University certificate or diploma below the bachelor's level,Male,Quebec,Larger urban population centres (CMA/CA),NA,70,NA,1,HS or less,University Undergraduate
12028,Female,4,80,27.8,Very important,"$50,000 to $74,999",NA,University certificate or diploma below the bachelor's level,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),NA,80,25,1,University Undergraduate,University Undergraduate
12030,Female,0,31.2,NA,Not very important,"$25,000 to $49,999",Occupations in manufacturing and utilities,Trade certificate or diploma,Less than high school diploma or its equivalent,No Partner,Quebec,Rural areas and small population centres (non CMA/CA),NA,30,NA,0,College / Trade,HS or less
12031,Female,0,17.3,NA,Somewhat important,"$25,000 to $49,999",Sales and service occupations,Less than high school diploma or its equivalent,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
12032,Female,2,51.8,33.8,Somewhat important,"$75,000 to $99,999","Business, finance, and administration occupations",Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,British Columbia,Larger urban population centres (CMA/CA),1990,50,30,1,HS or less,HS or less
12033,Female,1,59.8,35.9,Not very important,"$100,000 to $ 124,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1980,55,35,1,College / Trade,HS or less
12035,Female,0,24.2,NA,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",No Partner,Atlantic region,Larger urban population centres (CMA/CA),NA,20,NA,0,University Undergraduate,College / Trade
12036,Female,1,66.9,26.3,Very important,"$125,000 and more",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Larger urban population centres (CMA/CA),1960,65,25,1,University Undergraduate,College / Trade
12037,Female,2,68.8,35.4,Very important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Atlantic region,Larger urban population centres (CMA/CA),1970,65,35,1,College / Trade,University Undergraduate
12041,Female,0,26.1,NA,Not very important,"Less than $25,000",Sales and service occupations,High school diploma or a high school equivalency certificate,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),NA,25,NA,0,HS or less,NA
12042,Female,1,40.8,34.7,Very important,"$50,000 to $74,999",Sales and service occupations,"University certificate, diploma or degree above the bach...","University certificate, diploma or degree above the ba...",Male,Prairie region,Larger urban population centres (CMA/CA),2000,40,30,1,University Graduate,University Graduate
12043,Female,4,40.8,18,Somewhat important,"$50,000 to $74,999",Sales and service occupations,"College, CEGEP or other non-university certificate or di...",Less than high school diploma or its equivalent,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),1980,40,15,1,College / Trade,HS or less
12044,Female,4,65.8,19.2,Very important,"$25,000 to $49,999",NA,"College, CEGEP or other non-university certificate or di...",High school diploma or a high school equivalency certi...,Male,Prairie region,Larger urban population centres (CMA/CA),1960,65,15,1,College / Trade,HS or less
12045,Female,5,35.9,24.8,Very important,"$100,000 to $ 124,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Prairie region,Larger urban population centres (CMA/CA),1990,35,20,1,University Undergraduate,College / Trade
12050,Female,0,16,NA,Not very important,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
12051,Female,3,68,NA,Somewhat important,"$25,000 to $49,999",NA,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,65,NA,1,University Undergraduate,HS or less
12052,Female,2,70.5,22.3,Somewhat important,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Quebec,Rural areas and small population centres (non CMA/CA),NA,70,20,1,HS or less,HS or less
12053,Female,2,80,21.5,Somewhat important,"$50,000 to $74,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Ontario,Rural areas and small population centres (non CMA/CA),NA,80,20,1,HS or less,NA
12055,Female,2,57.8,22.7,Very important,"$25,000 to $49,999","Business, finance, and administration occupations","College, CEGEP or other non-university certificate or di...",NA,No Partner,Atlantic region,Rural areas and small population centres (non CMA/CA),1970,55,20,1,College / Trade,NA
12056,Female,0,17.4,NA,Not at all important,"Less than $25,000",Sales and service occupations,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,15,NA,0,HS or less,NA
12058,Female,0,60.3,NA,Very important,"$100,000 to $ 124,999",Sales and service occupations,High school diploma or a high school equivalency certificate,High school diploma or a high school equivalency certi...,Male,British Columbia,Larger urban population centres (CMA/CA),NA,60,NA,0,HS or less,HS or less
12059,Female,2,64.9,36.9,Not very important,"$125,000 and more","Business, finance, and administration occupations",High school diploma or a high school equivalency certificate,Trade certificate or diploma,Male,Atlantic region,Larger urban population centres (CMA/CA),1980,60,35,1,HS or less,College / Trade
12060,Female,2,25.7,23.7,Not very important,"$25,000 to $49,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),2000,25,20,1,HS or less,NA
12062,Female,2,57.6,29.6,Somewhat important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Quebec,Larger urban population centres (CMA/CA),1980,55,25,1,University Undergraduate,College / Trade
12064,Female,4,78.9,24.4,Don't know,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,75,20,1,HS or less,NA
12065,Female,5,29.8,18,Somewhat important,"Less than $25,000",NA,Less than high school diploma or its equivalent,High school diploma or a high school equivalency certi...,No Partner,Ontario,Larger urban population centres (CMA/CA),1990,25,15,1,HS or less,HS or less
12067,Female,0,62.9,NA,Somewhat important,"$50,000 to $74,999",Management occupations,Less than high school diploma or its equivalent,Trade certificate or diploma,Male,Atlantic region,Rural areas and small population centres (non CMA/CA),NA,60,NA,0,HS or less,College / Trade
12069,Female,2,62.4,18.4,Somewhat important,"$50,000 to $74,999","Business, finance, and administration occupations",University certificate or diploma below the bachelor's level,Trade certificate or diploma,Male,Prairie region,Rural areas and small population centres (non CMA/CA),1960,60,15,1,University Undergraduate,College / Trade
12070,Female,2,37,32,Very important,"$125,000 and more",Natural and applied sciences and related occupations,"College, CEGEP or other non-university certificate or di...","College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Prince Edward Island,2000,35,30,1,College / Trade,College / Trade
12074,Female,2,52.3,23.7,Very important,"$125,000 and more","Business, finance, and administration occupations","University certificate, diploma or degree above the bach...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Ontario,Larger urban population centres (CMA/CA),1970,50,20,1,University Graduate,University Undergraduate
12079,Female,1,69.2,32.7,Very important,"$25,000 to $49,999",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Atlantic region,Larger urban population centres (CMA/CA),1970,65,30,1,HS or less,NA
12080,Female,2,64.1,33.9,Very important,"$125,000 and more",Health occupations,"College, CEGEP or other non-university certificate or di...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,British Columbia,Larger urban population centres (CMA/CA),1970,60,30,1,College / Trade,University Undergraduate
12081,Female,3,69.4,24.6,Very important,"$75,000 to $99,999",NA,High school diploma or a high school equivalency certificate,University certificate or diploma below the bachelor's level,Male,Ontario,Larger urban population centres (CMA/CA),1960,65,20,1,HS or less,University Undergraduate
12083,Female,3,71.3,18.2,Very important,"$75,000 to $99,999",NA,High school diploma or a high school equivalency certificate,Less than high school diploma or its equivalent,Male,Prairie region,Rural areas and small population centres (non CMA/CA),NA,70,15,1,HS or less,HS or less
12084,Female,2,47.8,37.9,Very important,"$125,000 and more","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","College, CEGEP or other non-university certificate or d...",Male,Ontario,Larger urban population centres (CMA/CA),1990,45,35,1,University Undergraduate,College / Trade
12085,Female,2,56.3,23.5,Very important,"$125,000 and more",Occupations in manufacturing and utilities,"College, CEGEP or other non-university certificate or di...",University certificate or diploma below the bachelor's level,Male,Quebec,Larger urban population centres (CMA/CA),1970,55,20,1,College / Trade,University Undergraduate
12086,Female,1,58.9,25.7,Somewhat important,"$75,000 to $99,999","Occupations in education, law and social, community and ...","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Quebec,Larger urban population centres (CMA/CA),1970,55,25,1,University Undergraduate,NA
12087,Female,1,64,29.8,Somewhat important,"$125,000 and more",Management occupations,"University certificate, diploma or degree above the bach...","University certificate, diploma or degree above the ba...",Male,Ontario,Rural areas and small population centres (non CMA/CA),1970,60,25,1,University Graduate,University Graduate
12090,Female,4,70.4,21.6,Somewhat important,"$125,000 and more",NA,High school diploma or a high school equivalency certificate,NA,No Partner,Quebec,Larger urban population centres (CMA/CA),NA,70,20,1,HS or less,NA
12091,Female,0,29.8,NA,Somewhat important,"$125,000 and more","Business, finance, and administration occupations","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,No Partner,Ontario,Larger urban population centres (CMA/CA),NA,25,NA,0,University Undergraduate,NA
12093,Female,1,48.8,33.3,Very important,"$125,000 and more",Natural and applied sciences and related occupations,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",High school diploma or a high school equivalency certi...,Male,Ontario,Larger urban population centres (CMA/CA),1990,45,30,1,University Undergraduate,HS or less
12094,Female,2,51.7,29.4,Not very important,"$125,000 and more","Business, finance, and administration occupations","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",Male,Quebec,Larger urban population centres (CMA/CA),1980,50,25,1,University Undergraduate,University Undergraduate
12096,Female,0,28.8,NA,Not at all important,"$25,000 to $49,999",Management occupations,High school diploma or a high school equivalency certificate,NA,No Partner,Prairie region,Rural areas and small population centres (non CMA/CA),NA,25,NA,0,HS or less,NA
12097,Female,2,72,25.3,Very important,"$75,000 to $99,999",NA,University certificate or diploma below the bachelor's level,NA,No Partner,British Columbia,Larger urban population centres (CMA/CA),1960,70,25,1,University Undergraduate,NA
12098,Female,2,62.8,21.2,Somewhat important,"$75,000 to $99,999",Health occupations,High school diploma or a high school equivalency certificate,"College, CEGEP or other non-university certificate or d...",Male,Atlantic region,Larger urban population centres (CMA/CA),1960,60,20,1,HS or less,College / Trade
12099,Female,3,80,19.1,Somewhat important,"$50,000 to $74,999",NA,Less than high school diploma or its equivalent,Less than high school diploma or its equivalent,Male,Prairie region,Rural areas and small population centres (non CMA/CA),NA,80,15,1,HS or less,HS or less
